Instance,Time,Cost,FacilityState,CustomerState
1,3.000000,10854,1 1 1 1 1 1 1 1 1 1 ,9 3 6 7 4 9 3 10 10 6 10 1 4 3 9 4 10 1 7 8 4 8 7 10 6 6 2 6 1 6 7 7 1 3 10 5 5 4 1 10 6 9 2 6 8 1 10 1 5 4 
2,3.000000,9218,1 1 1 1 1 1 1 1 1 1 ,8 3 2 7 2 9 3 10 8 2 10 9 4 3 9 4 3 1 7 8 6 8 7 5 6 6 2 6 1 6 7 7 1 3 10 5 5 4 1 10 6 9 2 7 8 1 10 1 8 1 
3,4.000000,10777,1 1 1 1 1 1 1 1 1 1 ,8 3 2 7 2 9 3 5 5 6 10 9 4 3 9 4 5 1 10 8 6 8 7 5 6 6 2 6 1 6 7 7 1 4 10 5 5 4 1 5 6 9 2 6 8 1 10 4 5 4 
4,3.000000,14578,1 1 1 1 1 1 1 1 1 1 ,8 3 2 7 2 9 3 10 5 6 10 9 4 5 9 4 5 1 10 8 3 8 7 5 3 6 2 6 3 6 7 7 3 3 10 5 5 4 3 5 6 3 2 6 8 1 10 3 8 5 
5,2.000000,11104,1 1 1 1 1 1 1 1 1 1 ,8 5 2 7 4 9 3 10 5 6 10 9 1 3 9 4 10 1 10 8 4 8 7 5 3 7 4 6 3 6 10 7 1 4 10 5 8 4 9 5 3 3 3 7 8 9 10 1 8 1 
6,3.000000,9896,1 1 1 1 1 1 1 1 1 1 ,9 3 6 7 2 9 3 10 7 6 10 9 4 3 9 4 5 1 10 8 7 3 10 5 3 7 6 6 9 6 7 7 1 4 10 5 5 4 1 3 7 9 6 6 8 1 10 1 8 1 
7,4.000000,11387,1 1 1 1 1 1 1 1 1 1 ,8 5 6 7 2 9 3 5 3 6 10 9 4 3 9 4 5 1 7 8 6 8 7 5 3 6 2 6 9 6 3 7 1 3 10 5 8 2 9 5 6 9 2 7 8 1 10 4 5 1 
8,4.000000,14996,1 1 1 1 1 1 1 1 1 1 ,8 3 2 7 2 9 6 5 5 6 7 9 4 3 9 4 5 1 10 8 3 3 10 5 7 6 2 6 3 7 7 7 1 4 7 5 5 6 1 5 7 3 2 6 8 1 10 3 8 1 
9,3.000000,9378,1 1 1 1 1 1 1 1 1 1 ,9 3 2 7 2 9 3 5 5 2 10 9 4 3 9 4 5 1 10 8 4 5 10 5 3 6 2 6 9 6 3 7 1 4 10 5 5 4 9 5 6 9 2 7 8 1 3 1 5 1 
10,3.000000,8507,1 1 1 1 1 0 1 1 1 1 ,9 3 2 10 4 9 3 5 3 2 10 9 4 3 9 4 3 1 10 8 4 8 10 5 3 7 2 2 1 2 10 7 1 4 10 5 8 4 1 5 2 3 2 7 8 1 10 1 8 1 
11,4.000000,11221,1 1 1 1 1 1 1 1 1 1 ,9 3 2 7 2 9 3 10 5 2 10 9 4 3 9 4 10 1 10 8 6 3 7 10 3 7 2 6 1 6 7 7 4 4 10 5 5 4 3 10 6 9 2 7 8 1 10 4 5 1 
12,3.000000,14785,1 1 1 1 1 1 1 1 1 1 ,8 3 2 7 2 9 3 10 5 6 10 9 4 3 8 6 10 9 7 8 6 8 7 5 6 6 2 6 9 6 7 7 1 3 10 5 8 4 9 10 6 9 2 7 8 9 7 4 8 3 
13,5.000000,14070,1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 ,17 13 11 11 13 19 18 19 9 5 15 5 2 7 3 9 16 7 5 10 13 13 15 20 7 5 17 4 4 12 3 8 19 17 4 7 12 2 2 19 10 1 17 11 9 6 15 7 20 10 
14,5.000000,10780,1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 ,17 4 17 11 13 19 18 14 9 18 1 3 2 7 3 9 6 7 5 10 13 19 16 3 10 5 1 18 4 18 3 15 3 17 4 7 9 19 20 14 10 1 6 1 9 19 15 7 3 10 
15,4.000000,14375,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 ,1 4 11 11 13 19 18 14 13 18 16 5 2 15 14 4 16 15 5 10 13 19 16 20 7 5 1 18 18 18 14 8 3 1 4 11 18 2 20 14 12 1 6 1 9 19 15 15 20 13 
16,5.000000,19433,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,17 13 11 8 2 15 18 19 9 18 16 5 2 7 3 9 6 15 5 10 15 16 15 20 10 12 1 12 4 18 14 8 20 1 4 7 12 2 20 6 10 1 6 6 9 6 15 10 20 10 
17,4.000000,13577,0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 ,17 4 11 11 4 19 18 14 9 18 16 5 5 7 14 9 16 9 5 10 12 16 16 3 10 5 17 12 4 18 14 8 3 8 4 7 12 19 20 14 9 6 6 16 9 6 15 10 3 9 
18,5.000000,11520,1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 ,17 4 11 11 4 19 18 14 12 18 8 5 4 7 3 12 16 9 18 10 15 16 16 20 7 18 17 12 4 18 14 8 2 17 4 11 12 2 12 14 9 1 6 1 9 6 15 9 12 9 
19,4.000000,13378,1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 ,17 2 11 11 2 2 18 14 12 18 1 5 5 7 3 12 6 11 5 9 13 16 2 20 7 5 1 18 2 18 3 11 3 17 18 11 12 20 5 14 12 1 6 1 12 14 15 7 20 9 
20,5.000000,18906,1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 ,17 2 17 8 2 19 12 14 13 18 16 5 20 15 3 4 6 8 5 9 19 16 16 20 7 2 17 4 2 12 14 16 3 17 4 11 12 20 20 14 12 1 6 1 12 14 19 19 20 9 
21,5.000000,13628,0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 ,7 4 7 11 2 19 18 19 9 18 16 5 2 10 3 12 16 10 5 10 13 16 16 3 10 5 16 18 4 18 14 15 3 15 4 7 12 2 2 19 9 16 6 16 9 19 15 10 5 10 
22,5.000000,10930,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 ,17 15 11 11 13 15 4 1 11 18 17 5 2 7 14 9 1 11 5 10 15 16 8 3 7 5 17 2 13 18 14 8 3 17 4 11 12 13 2 14 7 1 1 17 10 6 15 11 20 10 
23,4.000000,14048,1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 ,17 4 7 15 13 19 18 14 4 18 16 2 2 7 3 4 16 15 18 10 13 16 16 20 10 18 17 4 4 18 14 15 3 8 4 7 12 19 20 14 12 1 19 15 9 14 15 7 20 10 
24,5.000000,17569,1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 ,17 13 17 1 13 6 18 14 15 5 6 5 20 8 3 9 6 8 5 10 15 16 16 3 7 5 1 12 9 18 3 16 3 1 12 11 12 13 20 14 10 1 6 1 9 6 15 8 3 10 
25,31.000000,30396,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,7 28 19 3 19 6 24 10 2 18 13 17 2 21 24 9 8 8 30 12 4 5 13 4 13 9 20 25 30 27 23 26 11 30 21 14 10 16 24 3 8 9 16 11 16 15 13 14 28 29 24 2 3 6 19 14 3 24 5 15 1 6 21 28 12 12 23 1 13 13 19 7 6 8 16 9 27 21 2 23 19 8 19 18 5 18 8 5 21 23 20 23 20 28 8 27 20 11 22 11 24 20 8 26 20 30 5 28 20 29 15 2 3 12 26 13 25 16 25 30 6 19 30 14 19 24 30 27 5 13 1 22 23 13 2 9 4 30 21 18 12 4 21 3 9 5 26 6 8 6 
26,29.000000,28295,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,7 30 19 29 19 6 24 10 2 18 27 17 17 21 24 29 15 1 30 12 29 22 27 4 27 9 20 25 10 27 23 26 11 23 21 9 25 16 24 15 1 9 16 11 16 15 13 14 28 29 27 2 15 25 19 14 18 24 22 9 1 25 21 22 12 26 23 1 13 27 17 7 12 1 16 29 27 21 2 23 17 8 17 18 4 18 20 5 21 23 20 16 20 5 5 27 20 13 22 11 19 5 15 30 20 30 5 28 29 29 15 2 3 12 26 13 25 16 25 25 12 19 30 14 19 24 10 27 5 13 1 22 16 13 19 9 24 23 21 18 1 17 14 15 9 22 26 6 20 26 
27,31.000000,36855,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,7 28 7 20 7 6 17 10 19 1 27 17 17 14 2 29 18 1 30 6 17 4 13 4 27 17 20 25 10 27 24 26 19 30 21 14 25 23 24 29 1 29 23 11 10 15 19 7 28 29 24 2 9 6 7 7 3 2 22 9 1 25 21 28 1 26 23 1 13 27 17 7 26 8 10 17 27 21 2 22 7 8 7 18 4 18 28 5 21 22 20 10 5 28 5 24 20 11 22 11 19 5 18 26 17 30 4 28 17 29 9 2 3 12 26 13 25 16 25 10 6 19 28 14 19 24 30 27 5 13 1 22 10 13 17 9 2 30 14 18 1 17 14 9 9 22 26 6 20 6 
28,31.000000,40878,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,7 28 19 29 19 6 24 10 11 18 27 17 17 9 24 29 15 8 10 8 4 23 13 4 27 9 20 25 10 27 23 26 11 30 21 14 25 23 24 15 8 29 16 11 10 15 13 29 28 29 27 2 15 6 19 14 3 27 22 15 1 25 21 30 12 26 23 1 13 27 17 7 8 8 10 29 27 21 2 23 7 8 17 18 4 18 20 5 21 23 20 10 5 30 5 23 20 11 22 11 11 5 15 26 20 30 22 28 4 29 15 2 3 12 26 13 25 16 25 25 6 19 30 14 19 24 25 27 30 13 1 22 10 13 19 9 23 10 14 18 18 17 14 15 9 10 26 6 20 6 
29,31.000000,28757,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,7 28 19 3 19 6 24 10 2 1 27 17 17 9 24 20 18 1 30 12 4 22 13 4 27 9 20 25 10 23 23 26 11 28 21 29 25 16 24 3 8 9 16 11 16 15 13 29 28 29 23 2 15 6 7 14 3 24 5 15 1 25 21 5 1 12 23 1 13 27 17 7 12 8 16 29 27 9 24 23 29 8 7 18 5 18 8 5 21 23 20 16 20 8 8 23 3 11 22 11 2 8 18 8 20 30 5 8 4 29 15 2 3 12 12 13 25 16 25 25 12 2 28 14 19 24 28 27 5 13 1 22 10 13 2 15 22 23 14 18 1 4 14 3 9 22 26 6 8 3 
30,28.000000,26185,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,7 28 19 3 19 6 4 10 2 18 13 17 17 21 4 9 15 8 10 26 4 4 13 4 27 9 20 10 10 23 23 10 19 30 21 21 25 23 24 9 8 9 16 11 10 15 24 14 28 29 4 4 9 6 7 14 15 24 5 21 1 25 21 30 26 26 23 1 11 23 17 7 26 8 10 14 27 21 2 23 14 8 7 18 4 18 8 5 21 22 20 10 5 30 28 23 20 11 22 19 19 5 15 28 5 30 5 28 29 29 15 2 3 12 26 13 25 16 25 25 6 19 30 14 19 24 10 27 5 13 1 22 10 13 4 9 4 10 21 18 1 29 21 9 9 22 26 25 3 28 
